viewer_id,signup_date,plan_tier,country,device_type,event_id,event_date,payment_amount,payment_status,auto_renew
V101,2024-01-15,Premium,US,SmartTV,E1001,2025-01-15,19.99,Completed,1.0
V101,2024-01-15,Premium,US,SmartTV,E1002,2025-02-15,19.99,Completed,1.0
V102,2024-02-10,Standard,UK,Mobile,E1003,2025-02-10,14.99,Completed,1.0
V103,2024-03-05,Basic,CA,Desktop,E1004,2025-03-05,9.99,Completed,0.0
V104,2024-03-20,Premium,US,SmartTV,E1005,2025-03-20,19.99,Completed,1.0
V105,2024-04-01,Standard,DE,Tablet,E1006,2025-04-01,14.99,Failed,0.0
V106,2024-04-15,Premium,FR,Mobile,E1007,2025-04-15,19.99,Completed,1.0
V107,2024-05-10,Basic,US,Desktop,E1008,2025-05-10,9.99,Completed,1.0
V108,2024-06-01,Premium,UK,SmartTV,E1009,2025-06-01,19.99,Completed,1.0
V109,2024-06-15,Standard,CA,Mobile,E1010,2025-06-15,14.99,Completed,0.0
V110,2024-07-01,Basic,US,Tablet,E1011,2025-07-01,9.99,Completed,1.0
V199,2024-07-15,Basic,US,Mobile,,,,,
